id,AdvancementRUID,Advance
warrior_1,4ed8fbf39ef84a61b0958eed494f8ef2,24fa62e1b950429b821bae891f926ccc
warrior_2,4092401c20ff471eae46337020a453af,720f514bb94a4740a70a3ae707654f32
warrior_3,aa23770003d94044b97c1acd4adef0d5,4d5d03249be04fadbae4061d2e36531a
warrior_4,be5566aca9f54203be1e07d66665e8bc,45495cdd5be040048f550fcea00d74b7
warrior_5,4f1fce5d632a4b7085b8d781fc7a68aa,a7bdfa88c1d84553bd14cb0bb70c0ed1
magician_1,aa1418048cbf4fa9adf015ec9e4ec463,24fa62e1b950429b821bae891f926ccc
magician_2,7ae4dbef75bb4b76a01e5fd163b3849b,720f514bb94a4740a70a3ae707654f32
magician_3,a2016e8ade4146f5900d08fefdee7e46,4d5d03249be04fadbae4061d2e36531a
magician_4,fdc6682239af46e5809b7eb05689d130,45495cdd5be040048f550fcea00d74b7
magician_5,1b499622eaff4c5ead9d669830ebc734,a7bdfa88c1d84553bd14cb0bb70c0ed1
archer_1,2eab0c05818b47b3ba487324e1fedf29,24fa62e1b950429b821bae891f926ccc
archer_2,78394848ef00479fa1f3f40599c133bf,720f514bb94a4740a70a3ae707654f32
archer_3,3bad43234b544023b910cecba8f76565,4d5d03249be04fadbae4061d2e36531a
archer_4,319c74f5953e43e599fa80d2d8783c5a,45495cdd5be040048f550fcea00d74b7
archer_5,fa4c984d67654d32883f1c196927dc6f,a7bdfa88c1d84553bd14cb0bb70c0ed1
rogue_1,c3f0515d15904796a0b2033acfd51af9,24fa62e1b950429b821bae891f926ccc
rogue_2,a44f6aaefeed4bfcb74ce61ade0d42d2,720f514bb94a4740a70a3ae707654f32
rogue_3,21b7c19797cc499b98e867e8bd8dd6e3,4d5d03249be04fadbae4061d2e36531a
rogue_4,5fb6bca732db465f864e0c09c8ef94b2,45495cdd5be040048f550fcea00d74b7
rogue_5,a8d6cf84bc9549bb8e35c981339a68d9,a7bdfa88c1d84553bd14cb0bb70c0ed1
pirate_1,c7b00bdf82044284b71498435b4430f4,24fa62e1b950429b821bae891f926ccc
pirate_2,eb6c198c6b7e4081b8357250daa9d7ff,720f514bb94a4740a70a3ae707654f32
pirate_3,84bd0d8015324b60b15c7ba214c68efd,4d5d03249be04fadbae4061d2e36531a
pirate_4,0076512f9b63431f846166f06aa212e7,45495cdd5be040048f550fcea00d74b7
pirate_5,e9c68d325b38413cbf75c82e96eba3cf,a7bdfa88c1d84553bd14cb0bb70c0ed1
